Date,open,high,low,close,Clean Open,Clean High,Clean Low,Clean Close,TR,ATR,Past High,Past Low,Signal,Trade Price,Stop Loss,Position,Cash,Stock Value,Trading Cost,Daily P&L,NAV,Daily Return,Drawdown,NAV Index,Close Index,Trade
38447,16.9227171735088,17.1183555223355,16.8527764638033,17.0973942706755,16.9227171735088,17.1183555223355,16.8527764638033,17.0973942706755,0.2655790585322002,0.2655790585322002,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.0,
38448,17.0973942706755,17.4257872133489,17.0827912653524,17.2371359484089,17.0973942706755,17.4257872133489,17.0827912653524,17.2371359484089,0.34299594799649924,0.2729520956240382,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.81732733959979,
38449,17.2301488645222,17.5585418071956,17.2091876128622,17.5375805555356,17.2301488645222,17.5585418071956,17.2091876128622,17.5375805555356,0.34935419433340087,0.28022848597731087,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,102.57458111973872,
38450,17.5166193038756,17.6423868138356,17.4048259616889,17.4257872133489,17.5166193038756,17.6423868138356,17.4048259616889,17.4257872133489,0.23756085214670009,0.276164901802967,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.92071924805899,
38453,17.4886709683289,17.5445676394222,17.3698905422555,17.4467484650089,17.4886709683289,17.5445676394222,17.3698905422555,17.4467484650089,0.17467709716670043,0.26649939659951305,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,102.0433183489989,
38454,17.4118130455755,17.7122576527022,17.3279680389355,17.6912964010422,17.4118130455755,17.7122576527022,17.3279680389355,17.6912964010422,0.38428961376670046,0.27771751252019755,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,103.47364119329767,
38455,17.6284126460622,17.7821284915689,17.4607226327822,17.4956580522155,17.6284126460622,17.7821284915689,17.4607226327822,17.4956580522155,0.3214058587867008,0.2818783074027217,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,102.3293829178583,
38456,17.4746968005555,17.5655288910822,17.3489292905955,17.3559163744822,17.4746968005555,17.5655288910822,17.3489292905955,17.3559163744822,0.21659960048669902,0.27566128769643383,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.51205557825908,
38457,17.1742521934288,17.3978388778022,17.0554717673555,17.0904071867888,17.1742521934288,17.3978388778022,17.0554717673555,17.0904071867888,0.34236711044670187,0.28201422319645936,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,99.95913363301982,
38460,17.0834201029022,17.3559163744822,17.0484846834688,17.2231617806355,17.0834201029022,17.3559163744822,17.0484846834688,17.2231617806355,0.30743169101339873,0.28443493441712026,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.73559460563945,
