name,symbol,observations,start,end,ending_nav,total_return,annualized_return,max_drawdown,annualized_volatility,sharpe_ratio,buys,sells,time_in_market,ending_position,total_trading_cost,nav_check,minimum_cash,current_signal
沪深300,000300.SH,5152,38447,46191,11815916.811301032,10.815916811301031,0.12343743366809545,-0.17657898236170533,0.12130197233370558,1.0567838623715344,119,119,0.3623835403726708,0,542270.2732021522,PASS,1300.6339552874092,空仓
万得微盘股指数,8841431.WI,5152,38447,46191,117068768.58865929,116.06876858865928,0.25167730852870407,-0.1629249075299869,0.1442783083080475,1.6881162125126514,132,132,0.46001552795031053,0,3178822.2228420507,PASS,1321.9947806452906,空仓
中证500,000905.SH,5152,38447,46191,36039526.72055236,35.03952672055236,0.18406646171730223,-0.21022541739171818,0.1421032992469011,1.3056798339079423,120,120,0.37888198757763975,0,1586070.962546169,PASS,4083.306226292014,空仓
中证1000,000852.SH,5152,38447,46191,35656063.987361416,34.656063987361414,0.18346962026998415,-0.2637997987720926,0.14766531898556845,1.2583370820207047,134,134,0.3654891304347826,0,1762968.9140179656,PASS,7983.899110000162,空仓
中证2000,932000.CSI,3028,41641,46191,9315718.927506821,8.315718927506822,0.1960527245940944,-0.14058259834322862,0.13609906458246487,1.4334809312379633,67,67,0.3629458388375165,0,250469.31054763813,PASS,1753.8022613292364,空仓
微软(MICROSOFT),MSFT.O,5152,38447,46191,2850661.9010239667,1.8506619010239667,0.05061374071554803,-0.2317140581243251,0.12832911242970757,0.4632258364015283,161,161,0.39926242236024845,0,219977.3200355042,PASS,78.77102347126839,空仓
英伟达(NVIDIA),NVDA.O,5152,38447,46191,40396865.27057641,39.39686527057641,0.19045342639874296,-0.3187462193810854,0.18381872268769983,1.074982006833149,145,145,0.41323757763975155,0,684266.4520525644,PASS,1.148189624241354,空仓
谷歌(ALPHABET)-A,GOOGL.O,5152,38447,46191,5544221.857736702,4.544221857736702,0.08407576517197834,-0.2659346785608592,0.14870422653993232,0.6370291725595872,161,161,0.4136257763975155,0,457391.1684923318,PASS,22.074896791406672,空仓
苹果(APPLE),AAPL.O,5152,38447,46191,43060432.56893204,42.06043256893204,0.19404157552893952,-0.15945185355865676,0.14262026297884461,1.3621879518428839,135,135,0.44565217391304346,0,1167416.1258083435,PASS,19.3243515955902,空仓
