Date,open,high,low,close,Clean Open,Clean High,Clean Low,Clean Close,TR,ATR,Past High,Past Low,Signal,Trade Price,Stop Loss,Position,Cash,Stock Value,Trading Cost,Daily P&L,NAV,Daily Return,Drawdown,NAV Index,Close Index,Trade
38447,1.23883611312147,1.26949144634282,1.23492906084816,1.25897245945314,1.23883611312147,1.26949144634282,1.23492906084816,1.25897245945314,0.03456238549465995,0.03456238549465995,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.0,
38448,1.27430012606381,1.28662236784886,1.26678656399976,1.27219632868588,1.27430012606381,1.28662236784886,1.26678656399976,1.27219632868588,0.027649908395720013,0.03390405434237996,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.05037001671062,
38449,1.27219632868588,1.31487336120971,1.26979198882538,1.30916305404103,1.27219632868588,1.31487336120971,1.26979198882538,1.30916305404103,0.04508137238433019,0.0349685608225657,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,103.98663165433271,
38450,1.3133706487969,1.33591133498907,1.3085619690759,1.31457281872715,1.3133706487969,1.33591133498907,1.3085619690759,1.31457281872715,0.027349365913170054,0.034242923212147065,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,104.41632847935063,
38453,1.3268950605122,1.32990048533782,1.25957354441826,1.25987408690082,1.3268950605122,1.32990048533782,1.25957354441826,1.25987408690082,0.07032694091955993,0.03767949632713877,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,100.07161613750246,
38454,1.27700500840687,1.29804298218623,1.26257896924388,1.28211423061043,1.27700500840687,1.29804298218623,1.26257896924388,1.28211423061043,0.03816889528541001,0.03772610575173603,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,101.83814752924319,
38455,1.29082996260473,1.29203213253498,1.2138910870688,1.23342634843535,1.29082996260473,1.29203213253498,1.2138910870688,1.23342634843535,0.07814104546617995,0.04157514762930212,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,97.97087610408202,
38456,1.16640537482397,1.20156884528375,1.10719850575922,1.11982129002683,1.16640537482397,1.20156884528375,1.10719850575922,1.11982129002683,0.12622784267613008,0.04963730906233335,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,88.94724277870598,
38457,1.10058657114285,1.11952074754427,1.06031387847951,1.06241767585745,1.10058657114285,1.11952074754427,1.06031387847951,1.06241767585745,0.05950741154731998,0.05057731882280827,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,84.38768202434964,
38460,1.05189868896777,1.09096921170086,1.02184444071155,1.07053232288663,1.05189868896777,1.09096921170086,1.02184444071155,1.07053232288663,0.06912477098931014,0.052343742838665594,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,85.0322272618765,
38461,1.09998548617772,1.12523105471295,1.07804588495068,1.11471206782327,1.09998548617772,1.12523105471295,1.07804588495068,1.11471206782327,0.054698731826320124,0.052568027504156505,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,88.54141799952222,
38462,1.13184298932932,1.13424732918982,1.06512255820051,1.06722635557844,1.13184298932932,1.13424732918982,1.06512255820051,1.06722635557844,0.06912477098931014,0.05414486021702828,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,84.76963475769846,
38463,1.09397463652648,1.11831857761402,1.07894751239837,1.11741695016633,1.09397463652648,1.11831857761402,1.07894751239837,1.11741695016633,0.05109222203558006,0.053854132771176066,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,88.75626641203117,
38464,1.10719850575922,1.11200718548021,1.04889326414215,1.06692581309588,1.10719850575922,1.11200718548021,1.04889326414215,1.06692581309588,0.06852368602418002,0.055251233080985965,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,84.7457627118643,
38467,1.09667951886954,1.11260827044534,1.08525890453217,1.11140610051509,1.09667951886954,1.11260827044534,1.08525890453217,1.11140610051509,0.04568245734945986,0.05433992110655491,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,88.27882549534495,
38468,1.10539525086384,1.12733485209089,1.08555944701474,1.08766324439267,1.10539525086384,1.12733485209089,1.08555944701474,1.08766324439267,0.04177540507614985,0.05314330053223062,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,86.39293387443267,
38469,1.07864696991581,1.09277246659623,1.06722635557844,1.08045022481118,1.07864696991581,1.09277246659623,1.06722635557844,1.08045022481118,0.02554611101778992,0.050514996768950556,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,85.82000477440907,
38470,1.09066866921829,1.09217138163111,1.05911170854926,1.06812798302613,1.09066866921829,1.09217138163111,1.05911170854926,1.06812798302613,0.03305967308184998,0.04885258498922669,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,84.84125089520171,
38471,1.08646107446242,1.08886541432292,1.05851062358414,1.08375619211936,1.08646107446242,1.08886541432292,1.05851062358414,1.08375619211936,0.030354790738780002,0.04709089029870796,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,86.08259727858632,
38481,1.12042237499195,1.12553159719551,1.10449362341616,1.11110555803253,1.12042237499195,1.12553159719551,1.10449362341616,1.11110555803253,0.041775405076150074,0.0465846536108453,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,88.25495344951081,
38482,1.10449362341616,1.11952074754427,1.09187083914854,1.0945757214916,1.10449362341616,1.11952074754427,1.09187083914854,1.0945757214916,0.027649908395729783,0.04478134454273906,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,86.94199092862215,
38483,1.05790953861901,1.07203503529944,0.995096159763509,1.07023178040406,1.05790953861901,1.07203503529944,0.995096159763509,1.07023178040406,0.09947956172809114,0.04999069856039164,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,85.00835521604155,
38484,1.06452147323538,1.06963069543894,1.02184444071155,1.02575149298486,1.06452147323538,1.06963069543894,1.02184444071155,1.02575149298486,0.04838733969251008,0.04983799771583149,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,81.47529243256169,
38485,1.02785529036279,1.0588111660667,1.02394823808948,1.04498621186884,1.02785529036279,1.0588111660667,1.02394823808948,1.04498621186884,0.034862927977219904,0.04841180059786848,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,83.00310336595852,
38488,1.03867481973503,1.07323720522969,1.03777319228734,1.06842852550869,1.03867481973503,1.07323720522969,1.03777319228734,1.06842852550869,0.0354640129423498,0.047178677964009555,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,84.86512294103585,
38489,1.05610628372364,1.06572364316563,1.03807373476991,1.06271821834001,1.05610628372364,1.06572364316563,1.03807373476991,1.06271821834001,0.030354790738780002,0.04557640299017817,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,84.4115540701838,
