Date,open,high,low,close,Clean Open,Clean High,Clean Low,Clean Close,TR,ATR,Past High,Past Low,Signal,Trade Price,Stop Loss,Position,Cash,Stock Value,Trading Cost,Daily P&L,NAV,Daily Return,Drawdown,NAV Index,Close Index,Trade
38481,731.3636,737.383,693.1243,697.6226,731.3636,737.383,693.1243,697.6226,44.25870000000009,26.05085732326709,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,84.1170438205939,
38482,690.2684,700.4304,690.2684,696.1017,690.2684,700.4304,690.2684,696.1017,10.16199999999992,24.537632816289264,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,83.93365868951194,
38483,692.6881,705.8339,686.8131,696.735,692.6881,705.8339,686.8131,696.735,19.02080000000001,24.012220167118862,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,84.01001992530273,
38484,695.0664,706.8704,683.9803,701.537,695.0664,706.8704,683.9803,701.537,22.89009999999996,23.905351579774205,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,84.58902932727234,
38485,700.5804,719.1158,699.1342,714.567,700.5804,719.1158,699.1342,714.567,19.98160000000007,23.531660953129048,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,86.16014396860183,
38488,712.0081,718.116,699.9029,716.4042,712.0081,718.116,699.9029,716.4042,18.21309999999994,23.02513133854532,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,86.38166751572773,
38489,712.7865,725.1547,712.7865,725.1547,712.7865,725.1547,712.7865,725.1547,12.368200000000002,22.0101854967791,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,87.43677409047474,
38490,724.2019,734.8508,716.7114,733.4712,724.2019,734.8508,716.7114,733.4712,18.139400000000023,21.641539258990615,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,88.43955036941692,
38491,733.3658,738.1553,728.6481,735.1855,733.3658,738.1553,728.6481,735.1855,9.507200000000012,20.48588790099151,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,88.64625503784602,
38492,732.1359,735.0292,722.2553,726.7314,732.1359,735.0292,722.2553,726.7314,12.930200000000013,19.76629857708756,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,87.6268874024459,
38495,719.5833,722.8285,689.9034,695.7536,719.5833,722.8285,689.9034,695.7536,36.827999999999975,21.39122252212684,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,83.89168593382146,
