Date,open,high,low,close,Clean Open,Clean High,Clean Low,Clean Close,TR,ATR,Past High,Past Low,Signal,Trade Price,Stop Loss,Position,Cash,Stock Value,Trading Cost,Daily P&L,NAV,Daily Return,Drawdown,NAV Index,Close Index,Trade
38467,935.993,935.993,920.162,930.07,935.993,935.993,920.162,930.07,18.938999999999965,17.170737584580984,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,97.32858377686016,
38468,928.428,939.696,924.655,937.083,928.428,939.696,924.655,937.083,15.041000000000054,16.967905433668513,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,98.06246978331893,
38469,938.57,938.91,925.896,926.604,938.57,938.91,925.896,926.604,13.01400000000001,16.59134301141437,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,96.96587895746957,
38470,923.529,945.504,914.829,942.073,923.529,945.504,914.829,942.073,30.675000000000068,17.932643676993962,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,98.58465589086624,
38471,940.806,942.453,929.81,932.395,940.806,942.453,929.81,932.395,12.643000000000029,17.42886808870883,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,97.57188692316225,
38481,934.65,937.39,909.174,909.174,934.65,937.39,909.174,909.174,28.216000000000008,18.456213985022274,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,95.14189020906281,
38482,905.543,913.388,892.313,913.076,905.543,913.388,892.313,913.076,21.075000000000045,18.70562217692492,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,95.5502209087922,
38483,911.838,917.223,900.438,901.851,911.838,917.223,900.438,901.851,16.784999999999968,18.522705779122543,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,94.37556378309708,
38484,899.968,900.063,883.511,885.82,899.968,900.063,883.511,885.82,18.340000000000032,18.505305228729924,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,92.69797550852975,
38485,883.505,898.505,875.576,887.543,883.505,898.505,875.576,887.543,22.928999999999974,18.926609492660408,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,92.87828145307965,
38488,885.389,885.389,869.334,875.271,885.389,885.389,869.334,875.271,18.20900000000006,18.858265731454658,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,91.59405942666268,
38489,873.077,888.281,868.212,881.462,873.077,888.281,868.212,881.462,20.06899999999996,18.9735737570304,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,92.24192599817079,
38490,881.141,890.403,871.821,883.196,881.141,890.403,871.821,883.196,18.581999999999994,18.936281018265603,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,92.42338305438061,
38491,882.842,888.016,871.289,884.171,882.842,888.016,871.289,884.171,16.726999999999975,18.725873302240306,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,92.52541340605569,
38492,883.513,891.02,879.18,882.763,883.513,891.02,879.18,882.763,11.840000000000032,18.070075844884087,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,92.37807111358542,
38495,880.281,880.281,862.098,863.341,880.281,880.281,862.098,863.341,20.665000000000077,18.317211478704657,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,90.34562650821789,
38496,861.195,871.767,855.587,868.456,861.195,871.767,855.587,868.456,16.180000000000064,18.11366752835184,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,90.88089343008254,
38497,867.658,876.305,861.659,868.451,867.658,876.305,861.659,868.451,14.645999999999958,17.783413478032614,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,90.88037019750985,
38498,867.758,872.835,854.956,857.331,867.758,872.835,854.956,857.331,17.87900000000002,17.792516956315225,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,89.71670095584126,
38499,855.595,864.963,848.398,849.508,855.595,864.963,848.398,849.508,16.56499999999994,17.675610579523294,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,88.89805127260627,
38502,847.634,858.462,842.102,855.612,847.634,858.462,842.102,855.612,16.360000000000014,17.55031433385441,,,0,,,0,1000000,0.0,0.0,0.0,1000000.0,0.0,0.0,100.0,89.53681359734952,
